productname,productbrand,price,numimages,description,primarycolor,sexuality,adult,disc_len,name_len
ahilya Sterling Silver Bangle,ahilya,4220,5,"\"Silver-toned textured bangle","has elephant-shaped detail on both the ends\"",1,1,3,4
SEJ by Nisha Gupta White Printed Table Placemat,SEJ by Nisha Gupta,399,3,Set content: 1 table matShape: RectangleColour: White Pattern: PrintedSuitable For: 1 seater tableMaterial: Cotton,White,2,1,14,8
Park Avenue Men Grey Regular Fit Checked Formal Trousers,Park Avenue,839,5,"\"Grey checked mid-rise trousers",button closure,0,1,4,9
XYXX Men Printed Pack of 2 Remix Pure Cotton Boxer XYBOX2PCKN158,XYXX,670,4,"\"Pack of 2 Yellow & Blue regular-fit printed boxers with a microfibre waistband and pockets on both sides.Key Features:Intelli Ease:Our Intelli Ease fabric technology makes for the most luxurious comfort wear that guarantees unmatched lightness",softness and breathability. Fit: Relaxed fit for everyday wear.Functionality: Dual side pockets to keep important belongings and a concealed button placket.Waistband:Soft,0,1,35,11
XYXX Men Printed Pack of 3 Remix Pure Cotton Boxer XYBOX3PCKN85,XYXX,967,5,"\"Pack of 3 Black",Blue & White regular-fit printed boxers with a microfibre waistband and pockets on both sides.Key Features:Intelli Ease:Our Intelli Ease fabric technology makes for the most luxurious comfort wear that guarantees unmatched lightness,0,1,4,11
Geox Men Brown Pointed Toe Leather Formal Shoes,Geox,5499,5,"\"A pair of brown pointed toe formal shoes with textured detail",has central lace-upsLeather upperCushioned footbedTextured outsole,0,1,11,8
SEJ by Nisha Gupta Blue & Yellow Printed Tissue Holder,SEJ by Nisha Gupta,699,3,Set Content: 1 tissue holderPattern: PrintedColour: Blue and yellowFinish: MatteMaterial: Wood,Blue,2,1,11,10
Shiseido 02 Twilight Hour InnerGlow CheekPowder 4 g,SHISEIDO,2340,4,"\"Shade Number:?02Shade Name:? Twilight Hour?What it is:This blush and highlighter hybrid is the future of cheek color thanks to a unique cream-powder matrix system that helps this airy powder stay put for eight hours.What it does:In addition to the formula's high color payoff and superior glide",refined mica provides a lit-from-within glow. Similar to a silk kimono,1,1,46,8
Park Avenue Men Navy Blue Regular Fit Solid Regular Trousers,Park Avenue,874,5,"\"Navy Blue solid mid-rise regular trousers",has a button closure,0,1,6,10
Soumya Multicoloured Set of 5 Self Design Square Linen Cushion Covers,Soumya,939,5,Set content: 5 Cushion Covers Colour: Multicoloured Shape: Square Pattern: Self Design Closure: Zip,Red,2,1,14,11
Carlton London Women Green & Black Regular Fit Striped Parallel Trousers,Carlton London,715,5,Green and Black striped high-rise parallel trousers with tie-up detail and zip closure,Green,1,1,13,11
Park Avenue Men Pink Slim Fit Self Design Formal Shirt,Park Avenue,899,5,"\"Pink self-design formal shirt",has a spread collar,0,1,4,10
MSC Women Pink Embroidered Open Toe Flats,MSC,679,4,"\"A pair of pink open-toed flats",has regular styling,1,1,6,7
SEJ by Nisha Gupta Green Printed Table Placemat,SEJ by Nisha Gupta,399,3,Set content: 1 table matShape: RectangleColour: GreenPattern: PrintedSuitable For: 1 seater tableMaterial: Cotton,Green,2,1,13,8
Levis Men Blue 511 Slim Fit Mid-Rise Clean Look Stretchable Jeans,Levis,2039,7,"\"Blue medium wash 5-pocket mid-rise jeans",clean look,0,1,6,11
Metro Women Black Solid Sandals,Metro,1890,5,"\"A pair of black open toe sandals",has regular styling,1,1,7,5
Cottinfab Women Black & Red Checked Playsuit,Cottinfab,664,5,"\"Black and red checked playsuit",has a round neck,1,1,5,7
Fastrack Men Charcoal Grey Analogue Watch 38050SM02,Fastrack,2502,5,"\"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Textured round stainless steel dialFeatures: Reset Time",Date ApertureStrap style: Silver-Toned bracelet style,0,1,13,7
Titan Ceramics Men Black Analogue watch NL90089KD02,Titan,12396,5,"\"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Solid round stainless steel dialFeatures: Chronograph",Reset TimeStrap style: Black bracelet style,0,1,12,7
Vishudh Peach-Coloured & Grey Striped Tunic,Vishudh,601,5,"\"Peach-Coloured and Grey printed Tunic",has a shirt collar,1,1,5,6
Soumya Blue Single Long Door Curtain,Soumya,1239,3,Set content: Single long door curtainColour: BluePattern: SolidLight blocking: RegularFitting: EyeletLining: No,Blue,2,1,12,6
Metro Women Gold-Toned Solid Sandals,Metro,1488,5,"\"A pair of gold-toned open toe sandals",has regular styling,1,1,7,5
Fos Lighting Gold-Toned & Black Solid Wall or Ceiling Lamp,Fos Lighting,2375,4,Colour: Gold toned and blackPattern: SolidUtility: Wall or ceilingShape: GeometricMaterial: MetalBulb Holder Type: E27,Black,2,1,14,10
KLEIO Peach-Coloured Solid Sling Bag,KLEIO,615,5,Peach coloured sling bag1 main compartment1 external pocket1 internal pocketNon-detachable sling strap,Red,1,1,12,5
Globus Women Navy Blue Printed Straight Kurta,Globus,1299,5,"\"Navy Blue printed straight kurta",has a mandarin collar,1,1,5,7
ELLE Yellow Solid Shoulder Bag,ELLE,1341,5,"\"Yellow solid shoulder bag",has a zip closure1 main compartment,1,1,4,5
Puma Men Grey Solid Round Neck T-shirt,Puma,1499,5,"\"Grey solid T-shirt",has a round neck,0,1,3,7
INVICTUS Men Red Slim Fit Solid Formal Shirt,INVICTUS,1299,6,"\"Red solid formal shirt",has a spread collar,0,1,4,8
